BEGIN;
INSERT INTO Ingredient (name, food_group_id, calories_per_unit) VALUES ('Turkey', '11', '8');
INSERT INTO Ingredient (name, food_group_id, calories_per_unit) VALUES ('Lychees', '1', '113');
INSERT INTO Ingredient (name, food_group_id, calories_per_unit) VALUES ('Wholegrain Bread', '8', '194');
INSERT INTO Ingredient (name, food_group_id, calories_per_unit) VALUES ('Spelt', '10', '2');
INSERT INTO Ingredient (name, food_group_id, calories_per_unit) VALUES ('Butternut pumpkin', '4', '41');
INSERT INTO Ingredient (name, food_group_id, calories_per_unit) VALUES ('SwordfishTabasco', '8', '12');
INSERT INTO Ingredient (name, food_group_id, calories_per_unit) VALUES ('Raspberry', '2', '40');
INSERT INTO Ingredient (name, food_group_id, calories_per_unit) VALUES ('Poppy Seed', '5', '128');
INSERT INTO Ingredient (name, food_group_id, calories_per_unit) VALUES ('Wholegrain Bread', '7', '101');
INSERT INTO Ingredient (name, food_group_id, calories_per_unit) VALUES ('Marjoram', '4', '46');
INSERT INTO Ingredient (name, food_group_id, calories_per_unit) VALUES ('Coffee', '4', '48');
INSERT INTO Ingredient (name, food_group_id, calories_per_unit) VALUES ('Rockmelon', '2', '102');
INSERT INTO Ingredient (name, food_group_id, calories_per_unit) VALUES ('Provolone', '4', '32');
INSERT INTO Ingredient (name, food_group_id, calories_per_unit) VALUES ('FlourRice', '6', '114');
INSERT INTO Ingredient (name, food_group_id, calories_per_unit) VALUES ('Prunes', '1', '65');
INSERT INTO Ingredient (name, food_group_id, calories_per_unit) VALUES ('Cinnamon', '11', '115');
INSERT INTO Ingredient (name, food_group_id, calories_per_unit) VALUES ('Turkey', '12', '15');
INSERT INTO Ingredient (name, food_group_id, calories_per_unit) VALUES ('Buckwheat Noodles', '3', '71');
INSERT INTO Ingredient (name, food_group_id, calories_per_unit) VALUES ('Plums', '10', '5');
INSERT INTO Ingredient (name, food_group_id, calories_per_unit) VALUES ('Peppermint', '12', '26');
INSERT INTO Ingredient (name, food_group_id, calories_per_unit) VALUES ('Saffron', '8', '32');
INSERT INTO Ingredient (name, food_group_id, calories_per_unit) VALUES ('Spinach', '12', '90');
INSERT INTO Ingredient (name, food_group_id, calories_per_unit) VALUES ('Parrotfish', '8', '9');
INSERT INTO Ingredient (name, food_group_id, calories_per_unit) VALUES ('Ricotta', '1', '75');
INSERT INTO Ingredient (name, food_group_id, calories_per_unit) VALUES ('Fennel Seeds', '5', '171');
INSERT INTO Ingredient (name, food_group_id, calories_per_unit) VALUES ('Clams', '8', '59');
INSERT INTO Ingredient (name, food_group_id, calories_per_unit) VALUES ('Brown rice vinegar', '9', '52');
INSERT INTO Ingredient (name, food_group_id, calories_per_unit) VALUES ('Camembert', '9', '19');
INSERT INTO Ingredient (name, food_group_id, calories_per_unit) VALUES ('PepitasPepper', '3', '109');
INSERT INTO Ingredient (name, food_group_id, calories_per_unit) VALUES ('Apple juice', '8', '174');
INSERT INTO Ingredient (name, food_group_id, calories_per_unit) VALUES ('Brie', '12', '109');
INSERT INTO Ingredient (name, food_group_id, calories_per_unit) VALUES ('Flat Mushrooms', '4', '117');
INSERT INTO Ingredient (name, food_group_id, calories_per_unit) VALUES ('Tarragon', '6', '14');
INSERT INTO Ingredient (name, food_group_id, calories_per_unit) VALUES ('Peppercorns', '5', '85');
INSERT INTO Ingredient (name, food_group_id, calories_per_unit) VALUES ('Paprik', '10', '80');
INSERT INTO Ingredient (name, food_group_id, calories_per_unit) VALUES ('Shiitake Mushrooms', '7', '41');
INSERT INTO Ingredient (name, food_group_id, calories_per_unit) VALUES ('Cloves', '11', '35');
INSERT INTO Ingredient (name, food_group_id, calories_per_unit) VALUES ('Water', '4', '41');
INSERT INTO Ingredient (name, food_group_id, calories_per_unit) VALUES ('Rockmelon', '11', '168');
INSERT INTO Ingredient (name, food_group_id, calories_per_unit) VALUES ('Cacao', '4', '112');
